symbol,underlying_symbol,underlying_price,contract_type,strike,expiration_date,bid,ask,mark,last,delta,open_interest,volume,option_root,expiration_type,intrinsic_value,extrinsic_value,time_value,volatility,high_52_week,low_52_week,gamma,theta,vega,rho,bid_size,ask_size,high_price,low_price,open_price,close_price
SPXW  250520P05465000,$SPX,5659.91,PUT,5465,2025-05-20T20:00:00.000+00:00,17.9,18.7,18.3,43.07,-0.167,0,0,SPXW,W,-194.91,237.98,43.07,21.45,43.07,39.07,0.001,-2.367,2.468,-0.293,1,46,0,0,0,19.72
SPXW  250520P05470000,$SPX,5659.91,PUT,5470,2025-05-20T20:00:00.000+00:00,18.5,19.4,18.95,20.41,-0.173,0,1,SPXW,W,-189.91,210.32,20.41,21.371,91.12,17.14,0.001,-2.408,2.518,-0.302,1,46,20.41,20.41,0,20.37
SPXW  250520P05475000,$SPX,5659.91,PUT,5475,2025-05-20T20:00:00.000+00:00,19.3,20.1,19.7,20.7,-0.178,0,11,SPXW,W,-184.91,205.61,20.7,21.3,224.96,18.46,0.001,-2.45,2.569,-0.312,1,31,25,18.95,0,21.03
SPXW  250520P05480000,$SPX,5659.91,PUT,5480,2025-05-20T20:00:00.000+00:00,20,20.8,20.4,22.13,-0.184,0,3,SPXW,W,-179.91,202.04,22.13,21.223,48.94,19.13,0.001,-2.492,2.62,-0.322,1,1,24.2,22.13,0,21.68
SPXW  250520P05485000,$SPX,5659.91,PUT,5485,2025-05-20T20:00:00.000+00:00,20.7,21.6,21.15,22.98,-0.19,0,1,SPXW,W,-174.91,197.89,22.98,21.17,123.01,22.98,0.001,-2.537,2.673,-0.333,1,31,22.98,22.98,0,22.62
SPXW  250520P05490000,$SPX,5659.91,PUT,5490,2025-05-20T20:00:00.000+00:00,21.5,22.4,21.95,23.47,-0.196,0,1,SPXW,W,-169.91,193.38,23.47,21.09,108.13,23.15,0.001,-2.577,2.723,-0.343,1,30,23.47,23.47,0,23.56
SPXW  250520P05495000,$SPX,5659.91,PUT,5495,2025-05-20T20:00:00.000+00:00,22.3,23.2,22.75,26.3,-0.202,0,0,SPXW,W,-164.91,191.21,26.3,21.037,53.05,26.3,0.001,-2.622,2.776,-0.354,1,1,0,0,0,24.49
SPXW  250520P05500000,$SPX,5659.91,PUT,5500,2025-05-20T20:00:00.000+00:00,23.2,24,23.6,25.36,-0.208,0,264,SPXW,W,-159.91,185.27,25.36,20.938,242.83,21.59,0.001,-2.657,2.825,-0.365,1,1,27.4,22.75,0,25.43
SPXW  250520P05505000,$SPX,5659.91,PUT,5505,2025-05-20T20:00:00.000+00:00,24,24.9,24.45,23.27,-0.215,0,6,SPXW,W,-154.91,178.18,23.27,20.899,46.99,22,0.001,-2.705,2.879,-0.377,1,1,23.27,22.4,0,26.37
SPXW  250520P05510000,$SPX,5659.91,PUT,5510,2025-05-20T20:00:00.000+00:00,24.9,25.8,25.35,27.2,-0.221,0,9,SPXW,W,-149.91,177.11,27.2,20.815,149.66,21.9,0.001,-2.742,2.929,-0.388,1,1,27.2,24.07,0,27.35
SPXW  250520P05515000,$SPX,5659.91,PUT,5515,2025-05-20T20:00:00.000+00:00,25.8,26.8,26.3,27.97,-0.228,0,9,SPXW,W,-144.91,172.88,27.97,20.755,40.4,23.7,0.001,-2.783,2.98,-0.4,1,40,28.67,24.4,0,28.34
SPXW  250520P05520000,$SPX,5659.91,PUT,5520,2025-05-20T20:00:00.000+00:00,26.8,27.7,27.25,28.8,-0.235,0,87,SPXW,W,-139.91,168.71,28.8,20.667,118.99,23.7,0.002,-2.819,3.029,-0.412,1,1,30.45,24.29,0,29.34
SPXW  250520P05525000,$SPX,5659.91,PUT,5525,2025-05-20T20:00:00.000+00:00,27.8,28.7,28.25,29.68,-0.242,0,11,SPXW,W,-134.91,164.59,29.68,20.585,130.3,24.91,0.002,-2.854,3.078,-0.425,1,1,29.73,29.15,0,30.34
SPXW  250520P05530000,$SPX,5659.91,PUT,5530,2025-05-20T20:00:00.000+00:00,28.8,29.8,29.3,32.5,-0.249,0,3,SPXW,W,-129.91,162.41,32.5,20.526,159.57,30.05,0.002,-2.894,3.127,-0.438,1,38,32.5,30.05,0,31.34
SPXW  250520P05535000,$SPX,5659.91,PUT,5535,2025-05-20T20:00:00.000+00:00,29.9,30.8,30.35,31.8,-0.257,0,19,SPXW,W,-124.91,156.71,31.8,20.455,64.3,28.07,0.002,-2.93,3.176,-0.451,1,16,31.8,28.64,0,32.34
SPXW  250520P05540000,$SPX,5659.91,PUT,5540,2025-05-20T20:00:00.000+00:00,30.9,31.9,31.4,30.1,-0.264,0,8,SPXW,W,-119.91,150.01,30.1,20.374,159,26.95,0.002,-2.963,3.223,-0.464,1,15,34.9,30.1,0,33.34
SPXW  250520P05545000,$SPX,5659.91,PUT,5545,2025-05-20T20:00:00.000+00:00,32.1,33,32.55,31.86,-0.272,0,4,SPXW,W,-114.91,146.77,31.86,20.297,71.52,27.77,0.002,-2.995,3.27,-0.477,1,15,31.86,31.09,0,34.33
SPXW  250520P05550000,$SPX,5659.91,PUT,5550,2025-05-20T20:00:00.000+00:00,33.2,34.2,33.7,36.3,-0.28,0,18,SPXW,W,-109.91,146.21,36.3,20.24,151.3,28.34,0.002,-3.031,3.317,-0.491,1,15,37.62,31.33,0,35.74
SPXW  250520P05555000,$SPX,5659.91,PUT,5555,2025-05-20T20:00:00.000+00:00,34.4,35.4,34.9,30.6,-0.288,0,9,SPXW,W,-104.91,135.51,30.6,20.157,69.2,30.6,0.002,-3.06,3.361,-0.505,1,14,32.54,30.6,0,37.14
SPXW  250520P05560000,$SPX,5659.91,PUT,5560,2025-05-20T20:00:00.000+00:00,35.7,36.6,36.15,38.26,-0.296,0,242,SPXW,W,-99.91,138.17,38.26,20.093,183.47,33.35,0.002,-3.092,3.406,-0.52,26,14,38.98,38.26,0,38.54
SPXW  250520P05565000,$SPX,5659.91,PUT,5565,2025-05-20T20:00:00.000+00:00,36.9,37.9,37.4,38.4,-0.304,0,4,SPXW,W,-94.91,133.31,38.4,20.016,139.1,32.8,0.002,-3.12,3.449,-0.535,1,14,46,38.4,0,39.94
SPXW  250520P05570000,$SPX,5659.91,PUT,5570,2025-05-20T20:00:00.000+00:00,38.2,39.2,38.7,39.65,-0.313,0,2,SPXW,W,-89.91,129.56,39.65,19.957,178.2,30.88,0.002,-3.149,3.491,-0.55,1,14,44.67,39.65,0,41.35
SPXW  250520P05575000,$SPX,5659.91,PUT,5575,2025-05-20T20:00:00.000+00:00,39.5,40.6,40.05,41.76,-0.322,0,10,SPXW,W,-84.91,126.67,41.76,19.887,154.2,33.47,0.002,-3.175,3.531,-0.565,1,14,41.85,39.68,0,42.75
SPXW  250520P05580000,$SPX,5659.91,PUT,5580,2025-05-20T20:00:00.000+00:00,40.9,41.9,41.4,40,-0.33,0,116,SPXW,W,-79.91,119.91,40,19.804,132.2,33.98,0.002,-3.197,3.57,-0.58,1,13,50,35.96,0,44.15
SPXW  250520P05585000,$SPX,5659.91,PUT,5585,2025-05-20T20:00:00.000+00:00,42.3,43.4,42.85,48.44,-0.339,0,0,SPXW,W,-74.91,123.35,48.44,19.738,159.5,48.44,0.002,-3.22,3.608,-0.596,1,11,0,0,0,45.65
SPXW  250520P05590000,$SPX,5659.91,PUT,5590,2025-05-20T20:00:00.000+00:00,43.8,44.8,44.3,37.1,-0.348,0,0,SPXW,W,-69.91,107.01,37.1,19.66,174.8,37.1,0.002,-3.24,3.643,-0.612,1,8,0,0,0,47.25
SPXW  250520P05595000,$SPX,5659.91,PUT,5595,2025-05-20T20:00:00.000+00:00,45.3,46.4,45.85,43,-0.358,0,1,SPXW,W,-64.91,107.91,43,19.598,82.52,43,0.002,-3.26,3.678,-0.629,1,9,43,43,0,48.85
SPXW  250520P05600000,$SPX,5659.91,PUT,5600,2025-05-20T20:00:00.000+00:00,46.9,47.9,47.4,48.2,-0.367,0,12,SPXW,W,-59.91,108.11,48.2,19.523,237.6,37.48,0.002,-3.276,3.71,-0.645,1,9,56.5,46.63,0,50.46
SPXW  250520P05605000,$SPX,5659.91,PUT,5605,2025-05-20T20:00:00.000+00:00,48.5,49.5,49,39.92,-0.377,0,0,SPXW,W,-54.91,94.83,39.92,19.45,92.69,39.92,0.002,-3.291,3.741,-0.662,1,9,0,0,0,52.06
SPXW  250520P05610000,$SPX,5659.91,PUT,5610,2025-05-20T20:00:00.000+00:00,50.1,51.2,50.65,45.67,-0.386,0,0,SPXW,W,-49.91,95.58,45.67,19.378,144.7,44.1,0.002,-3.304,3.77,-0.679,1,9,0,0,0,53.66
SPXW  250520P05615000,$SPX,5659.91,PUT,5615,2025-05-20T20:00:00.000+00:00,51.8,52.9,52.35,50.47,-0.396,0,6,SPXW,W,-44.91,95.38,50.47,19.303,119.1,46.73,0.002,-3.313,3.796,-0.697,1,9,57.3,46.73,0,55.26
SPXW  250520P05620000,$SPX,5659.91,PUT,5620,2025-05-20T20:00:00.000+00:00,53.5,54.6,54.05,48.28,-0.406,0,1,SPXW,W,-39.91,88.19,48.28,19.232,153.6,42.92,0.002,-3.321,3.821,-0.714,1,9,48.28,48.28,0,56.87
SPXW  250520P05625000,$SPX,5659.91,PUT,5625,2025-05-20T20:00:00.000+00:00,55.3,56.4,55.85,53.83,-0.416,0,3,SPXW,W,-34.91,88.74,53.83,19.163,154.4,44.27,0.002,-3.328,3.843,-0.732,1,9,62.74,53.83,0,58.47
SPXW  250520P05630000,$SPX,5659.91,PUT,5630,2025-05-20T20:00:00.000+00:00,57.1,58.2,57.65,60,-0.426,0,42,SPXW,W,-29.91,89.91,60,19.07,99.06,45.28,0.002,-3.328,3.863,-0.75,1,9,60,49.48,0,60.07
SPXW  250520P05635000,$SPX,5659.91,PUT,5635,2025-05-20T20:00:00.000+00:00,59,60.1,59.55,64.77,-0.437,0,5,SPXW,W,-24.91,89.68,64.77,19.012,101.38,64.47,0.002,-3.332,3.88,-0.769,1,9,64.77,64.77,0,62.05
SPXW  250520P05640000,$SPX,5659.91,PUT,5640,2025-05-20T20:00:00.000+00:00,61,62,61.5,51.48,-0.447,0,0,SPXW,W,-19.91,71.39,51.48,18.942,102.8,50.32,0.002,-3.331,3.895,-0.787,1,8,0,0,0,64.02
SPXW  250520P05645000,$SPX,5659.91,PUT,5645,2025-05-20T20:00:00.000+00:00,62.9,64,63.45,65.1,-0.457,0,1,SPXW,W,-14.91,80.01,65.1,18.872,111.5,65.1,0.002,-3.328,3.908,-0.806,1,8,65.1,65.1,0,66
SPXW  250520P05650000,$SPX,5659.91,PUT,5650,2025-05-20T20:00:00.000+00:00,65,66,65.5,63.85,-0.468,0,26,SPXW,W,-9.91,73.76,63.85,18.785,155.6,53.6,0.002,-3.318,3.917,-0.825,1,8,74.61,59.45,0,67.97
SPXW  250520P05655000,$SPX,5659.91,PUT,5655,2025-05-20T20:00:00.000+00:00,67,68.1,67.55,67.3,-0.479,0,12,SPXW,W,-4.91,72.21,67.3,18.7,103,56.2,0.002,-3.307,3.924,-0.844,1,8,74.74,67,0,69.95
