contract_type,symbol,description,strike,expiration_date,mark,bid,bid_size,ask,ask_size,last,last_size,open_interest,total_volume,delta,gamma,theta,vega,rho,volatility,theoretical_volatility,theoretical_option_value,intrinsic_value,extrinsic_value,underlying_price
CALL,SPXW  260414C02600000,SPXW 04/14/2026 2600.00 C,2600.0,2026-04-14,4220.4,4211.6,2,4229.2,2,4212.55,1,1,0,1.0,0.0,0.954,0.001,0.087,447.246,29.0,4219.105,4220.16,-7.61,6820.16
CALL,SPXW  260414C02800000,SPXW 04/14/2026 2800.00 C,2800.0,2026-04-14,4018.65,4008.1,2,4029.2,2,0.0,0,0,0,1.0,0.0,0.953,0.001,0.094,414.202,29.0,4019.106,4020.16,-4020.16,6820.16
CALL,SPXW  260414C03000000,SPXW 04/14/2026 3000.00 C,3000.0,2026-04-14,3819.95,3809.9,2,3830.0,2,0.0,0,0,0,1.0,0.0,0.953,0.001,0.101,383.044,29.0,3819.106,3820.16,-3820.16,6820.16
CALL,SPXW  260414C03200000,SPXW 04/14/2026 3200.00 C,3200.0,2026-04-14,3620.1,3611.5,2,3628.7,2,0.0,0,0,0,1.0,0.0,0.953,0.001,0.107,353.872,29.0,3619.106,3620.16,-3620.16,6820.16
CALL,SPXW  260414C03400000,SPXW 04/14/2026 3400.00 C,3400.0,2026-04-14,3419.35,3409.2,2,3429.5,2,0.0,0,0,0,1.0,0.0,0.953,0.001,0.114,326.433,29.0,3419.106,3420.16,-3420.16,6820.16
CALL,SPXW  260414C03600000,SPXW 04/14/2026 3600.00 C,3600.0,2026-04-14,3218.45,3208.2,2,3228.7,2,0.0,0,0,0,1.0,0.0,0.953,0.001,0.121,300.996,29.0,3219.107,3220.16,-3220.16,6820.16
CALL,SPXW  260414C03800000,SPXW 04/14/2026 3800.00 C,3800.0,2026-04-14,3019.45,3009.8,2,3029.1,2,0.0,0,0,0,1.0,0.0,0.952,0.001,0.127,276.494,29.0,3019.107,3020.16,-3020.16,6820.16
CALL,SPXW  260414C04000000,SPXW 04/14/2026 4000.00 C,4000.0,2026-04-14,2819.6,2809.8,2,2829.4,2,0.0,0,0,0,1.0,0.0,0.952,0.002,0.134,253.218,29.0,2819.107,2820.16,-2820.16,6820.16
CALL,SPXW  260414C04200000,SPXW 04/14/2026 4200.00 C,4200.0,2026-04-14,2619.35,2609.3,2,2629.4,2,0.0,0,0,0,1.0,0.0,0.952,0.002,0.141,230.989,29.0,2619.107,2620.16,-2620.16,6820.16
CALL,SPXW  260414C04400000,SPXW 04/14/2026 4400.00 C,4400.0,2026-04-14,2419.25,2409.1,2,2429.4,2,0.0,0,0,0,1.0,0.0,0.952,0.002,0.148,209.771,29.0,2419.107,2420.16,-2420.16,6820.16
CALL,SPXW  260414C04600000,SPXW 04/14/2026 4600.00 C,4600.0,2026-04-14,2218.9,2208.9,2,2228.9,2,0.0,0,0,0,1.0,0.0,0.952,0.002,0.154,189.474,29.0,2219.107,2220.16,-2220.16,6820.16
CALL,SPXW  260414C04800000,SPXW 04/14/2026 4800.00 C,4800.0,2026-04-14,2019.8,2010.1,2,2029.5,2,0.0,0,0,0,1.0,0.0,0.952,0.002,0.161,170.083,29.0,2019.108,2020.16,-2020.16,6820.16
CALL,SPXW  260414C05000000,SPXW 04/14/2026 5000.00 C,5000.0,2026-04-14,1819.7,1809.9,2,1829.5,2,0.0,0,0,0,1.0,0.0,0.951,0.003,0.168,151.324,29.0,1819.108,1820.16,-1820.16,6820.16
CALL,SPXW  260414C05100000,SPXW 04/14/2026 5100.00 C,5100.0,2026-04-14,1719.85,1710.9,2,1728.8,2,0.0,0,0,0,1.0,0.0,0.951,0.003,0.171,142.219,29.0,1719.108,1720.16,-1720.16,6820.16
CALL,SPXW  260414C05200000,SPXW 04/14/2026 5200.00 C,5200.0,2026-04-14,1619.15,1608.4,2,1629.9,2,0.0,0,0,0,1.0,0.0,0.951,0.003,0.174,133.205,29.0,1619.108,1620.16,-1620.16,6820.16
CALL,SPXW  260414C05300000,SPXW 04/14/2026 5300.00 C,5300.0,2026-04-14,1521.3,1512.4,2,1530.2,2,0.0,0,0,0,1.0,0.0,0.951,0.003,0.178,124.294,29.0,1519.108,1520.16,-1520.16,6820.16
CALL,SPXW  260414C05400000,SPXW 04/14/2026 5400.00 C,5400.0,2026-04-14,1421.3,1412.4,2,1430.2,2,0.0,0,0,0,1.0,0.0,0.951,0.003,0.181,115.593,29.0,1419.108,1420.16,-1420.16,6820.16
CALL,SPXW  260414C05475000,SPXW 04/14/2026 5475.00 C,5475.0,2026-04-14,1346.35,1337.4,2,1355.3,2,0.0,0,0,0,1.0,0.0,0.951,0.003,0.184,109.176,29.0,1344.109,1345.16,-1345.16,6820.16
CALL,SPXW  260414C05500000,SPXW 04/14/2026 5500.00 C,5500.0,2026-04-14,1319.55,1310.0,2,1329.1,2,1294.66,1,0,1,1.0,0.0,0.951,0.003,0.185,107.056,29.0,1319.109,1320.16,-25.5,6820.16
CALL,SPXW  260414C05525000,SPXW 04/14/2026 5525.00 C,5525.0,2026-04-14,1295.25,1285.9,2,1304.6,2,0.0,0,0,0,1.0,0.0,0.951,0.004,0.185,104.947,29.0,1294.109,1295.16,-1295.16,6820.16
CALL,SPXW  260414C05550000,SPXW 04/14/2026 5550.00 C,5550.0,2026-04-14,1271.35,1262.4,2,1280.3,2,0.0,0,0,0,1.0,0.0,0.951,0.004,0.186,102.844,29.0,1269.109,1270.16,-1270.16,6820.16
CALL,SPXW  260414C05575000,SPXW 04/14/2026 5575.00 C,5575.0,2026-04-14,1245.6,1235.9,2,1255.3,2,1019.22,1,1,0,1.0,0.0,0.951,0.004,0.187,100.677,29.0,1244.109,1245.16,-225.94,6820.16
CALL,SPXW  260414C05600000,SPXW 04/14/2026 5600.00 C,5600.0,2026-04-14,1219.45,1210.0,2,1228.9,2,0.0,0,0,0,1.0,0.0,0.951,0.004,0.188,98.571,29.0,1219.109,1220.16,-1220.16,6820.16
CALL,SPXW  260414C05625000,SPXW 04/14/2026 5625.00 C,5625.0,2026-04-14,1194.6,1185.2,2,1204.0,2,0.0,0,0,0,1.0,0.0,0.951,0.004,0.189,96.519,29.0,1194.109,1195.16,-1195.16,6820.16
CALL,SPXW  260414C05650000,SPXW 04/14/2026 5650.00 C,5650.0,2026-04-14,1170.25,1160.2,2,1180.3,2,0.0,0,0,0,1.0,0.0,0.951,0.004,0.19,94.406,29.0,1169.109,1170.16,-1170.16,6820.16
CALL,SPXW  260414C05675000,SPXW 04/14/2026 5675.00 C,5675.0,2026-04-14,1144.85,1135.2,2,1154.5,2,0.0,0,0,0,1.0,0.0,0.951,0.004,0.19,92.309,29.0,1144.109,1145.16,-1145.16,6820.16
CALL,SPXW  260414C05700000,SPXW 04/14/2026 5700.00 C,5700.0,2026-04-14,1120.7,1111.8,2,1129.6,2,0.0,0,0,0,0.999,0.0,0.926,0.007,0.191,94.843,29.0,1119.134,1120.16,-1120.16,6820.16
CALL,SPXW  260414C05725000,SPXW 04/14/2026 5725.00 C,5725.0,2026-04-14,1094.55,1085.2,2,1103.9,2,0.0,0,0,0,0.999,0.0,0.926,0.007,0.192,92.711,29.0,1094.134,1095.16,-1095.16,6820.16
CALL,SPXW  260414C05750000,SPXW 04/14/2026 5750.00 C,5750.0,2026-04-14,1069.05,1058.5,2,1079.6,2,0.0,0,0,0,0.999,0.0,0.926,0.007,0.193,90.53,29.0,1069.134,1070.16,-1070.16,6820.16
CALL,SPXW  260414C05775000,SPXW 04/14/2026 5775.00 C,5775.0,2026-04-14,1043.7,1033.5,2,1053.9,2,0.0,0,0,0,0.999,0.0,0.925,0.008,0.194,88.443,29.0,1044.134,1045.16,-1045.16,6820.16
CALL,SPXW  260414C05800000,SPXW 04/14/2026 5800.00 C,5800.0,2026-04-14,1018.85,1008.7,2,1029.0,2,0.0,0,0,0,0.999,0.0,0.901,0.011,0.194,89.012,29.0,1019.159,1020.16,-1020.16,6820.16
CALL,SPXW  260414C05825000,SPXW 04/14/2026 5825.00 C,5825.0,2026-04-14,994.15,983.7,2,1004.6,2,0.0,0,0,0,0.999,0.0,0.926,0.008,0.195,84.126,29.0,994.134,995.16,-995.16,6820.16
CALL,SPXW  260414C05850000,SPXW 04/14/2026 5850.00 C,5850.0,2026-04-14,971.4,962.5,2,980.3,2,0.0,0,1,0,0.999,0.0,0.901,0.011,0.196,84.632,29.0,969.159,970.16,-970.16,6820.16
CALL,SPXW  260414C05875000,SPXW 04/14/2026 5875.00 C,5875.0,2026-04-14,943.85,933.7,2,954.0,2,0.0,0,0,0,0.999,0.0,0.901,0.011,0.197,82.465,29.0,944.159,945.16,-945.16,6820.16
CALL,SPXW  260414C05900000,SPXW 04/14/2026 5900.00 C,5900.0,2026-04-14,919.25,909.3,2,929.2,2,547.35,1,2,0,0.999,0.0,0.901,0.012,0.198,80.271,29.0,919.159,920.16,-372.81,6820.16
CALL,SPXW  260414C05925000,SPXW 04/14/2026 5925.00 C,5925.0,2026-04-14,895.75,887.5,2,904.0,2,0.0,0,0,0,0.999,0.0,0.901,0.012,0.199,78.104,29.0,894.159,895.16,-895.16,6820.16
CALL,SPXW  260414C05950000,SPXW 04/14/2026 5950.00 C,5950.0,2026-04-14,871.05,862.5,2,879.6,2,0.0,0,0,0,0.999,0.0,0.901,0.012,0.199,75.937,29.0,869.159,870.16,-870.16,6820.16
CALL,SPXW  260414C05975000,SPXW 04/14/2026 5975.00 C,5975.0,2026-04-14,845.4,836.8,2,854.0,2,535.7,1,1,0,0.999,0.0,0.901,0.012,0.2,73.778,29.0,844.159,845.16,-309.46,6820.16
CALL,SPXW  260414C06000000,SPXW 04/14/2026 6000.00 C,6000.0,2026-04-14,820.55,812.1,2,829.0,2,454.04,2,4,0,0.999,0.0,0.876,0.016,0.201,73.373,29.0,819.184,820.16,-366.12,6820.16
CALL,SPXW  260414C06025000,SPXW 04/14/2026 6025.00 C,6025.0,2026-04-14,794.6,792.5,2,796.7,8,0.0,0,0,0,0.999,0.0,0.876,0.016,0.202,71.179,29.0,794.184,795.16,-795.16,6820.16
CALL,SPXW  260414C06030000,SPXW 04/14/2026 6030.00 C,6030.0,2026-04-14,789.55,787.5,2,791.6,8,0.0,0,0,0,0.999,0.0,0.876,0.016,0.202,70.741,29.0,789.184,790.16,-790.16,6820.16
CALL,SPXW  260414C06040000,SPXW 04/14/2026 6040.00 C,6040.0,2026-04-14,779.55,777.5,2,781.6,8,0.0,0,0,0,0.999,0.0,0.876,0.017,0.202,69.867,29.0,779.184,780.16,-780.16,6820.16
CALL,SPXW  260414C06050000,SPXW 04/14/2026 6050.00 C,6050.0,2026-04-14,769.2,766.8,8,771.6,8,499.33,1,0,0,0.999,0.0,0.876,0.017,0.203,68.993,29.0,769.184,770.16,-270.83,6820.16
CALL,SPXW  260414C06060000,SPXW 04/14/2026 6060.00 C,6060.0,2026-04-14,759.25,756.9,8,761.6,8,0.0,0,0,0,0.999,0.0,0.875,0.017,0.203,68.122,29.0,759.184,760.16,-760.16,6820.16
CALL,SPXW  260414C06070000,SPXW 04/14/2026 6070.00 C,6070.0,2026-04-14,749.45,747.3,2,751.6,8,516.35,1,1,0,0.999,0.0,0.875,0.017,0.203,67.253,29.0,749.184,750.16,-233.81,6820.16
CALL,SPXW  260414C06075000,SPXW 04/14/2026 6075.00 C,6075.0,2026-04-14,744.45,742.3,2,746.6,8,0.0,0,0,0,0.998,0.0,0.875,0.017,0.204,66.82,29.0,744.185,745.16,-745.16,6820.16
CALL,SPXW  260414C06080000,SPXW 04/14/2026 6080.00 C,6080.0,2026-04-14,739.4,737.2,2,741.6,8,383.46,1,1,0,0.998,0.0,0.875,0.017,0.204,66.388,29.0,739.185,740.16,-356.7,6820.16
CALL,SPXW  260414C06090000,SPXW 04/14/2026 6090.00 C,6090.0,2026-04-14,729.4,727.2,2,731.6,8,503.22,1,2,0,0.998,0.0,0.85,0.021,0.204,66.802,29.0,729.209,730.16,-226.94,6820.16
CALL,SPXW  260414C06100000,SPXW 04/14/2026 6100.00 C,6100.0,2026-04-14,719.4,717.2,2,721.6,8,732.35,1,3,0,0.998,0.0,0.85,0.021,0.204,65.918,29.0,719.209,720.16,12.19,6820.16
CALL,SPXW  260414C06110000,SPXW 04/14/2026 6110.00 C,6110.0,2026-04-14,709.45,707.3,2,711.6,9,284.49,1,1,0,0.998,0.0,0.85,0.021,0.205,65.037,29.0,709.21,710.16,-425.67,6820.16
CALL,SPXW  260414C06120000,SPXW 04/14/2026 6120.00 C,6120.0,2026-04-14,699.45,697.3,2,701.6,9,0.0,0,0,0,0.998,0.0,0.851,0.022,0.205,64.133,29.0,699.209,700.16,-700.16,6820.16
CALL,SPXW  260414C06125000,SPXW 04/14/2026 6125.00 C,6125.0,2026-04-14,694.4,692.3,2,696.5,9,0.0,0,0,0,0.998,0.0,0.851,0.022,0.205,63.69,29.0,694.209,695.16,-695.16,6820.16
CALL,SPXW  260414C06130000,SPXW 04/14/2026 6130.00 C,6130.0,2026-04-14,689.4,687.3,2,691.5,9,339.73,2,2,0,0.998,0.0,0.851,0.022,0.205,63.247,29.0,689.209,690.16,-350.43,6820.16
CALL,SPXW  260414C06140000,SPXW 04/14/2026 6140.00 C,6140.0,2026-04-14,679.4,677.3,2,681.5,9,0.0,0,0,0,0.998,0.0,0.851,0.022,0.206,62.362,29.0,679.209,680.16,-680.16,6820.16
CALL,SPXW  260414C06150000,SPXW 04/14/2026 6150.00 C,6150.0,2026-04-14,669.4,667.3,2,671.5,9,406.26,2,1,0,0.998,0.0,0.851,0.022,0.206,61.477,29.0,669.209,670.16,-263.9,6820.16
CALL,SPXW  260414C06160000,SPXW 04/14/2026 6160.00 C,6160.0,2026-04-14,659.4,657.3,2,661.5,9,0.0,0,0,0,0.998,0.0,0.826,0.026,0.206,61.622,29.0,659.234,660.16,-660.16,6820.16
CALL,SPXW  260414C06170000,SPXW 04/14/2026 6170.00 C,6170.0,2026-04-14,649.3,647.1,9,651.5,9,426.68,2,1,0,0.998,0.0,0.826,0.026,0.207,60.725,29.0,649.234,650.16,-223.48,6820.16
CALL,SPXW  260414C06175000,SPXW 04/14/2026 6175.00 C,6175.0,2026-04-14,644.4,642.3,2,646.5,9,0.0,0,0,0,0.998,0.0,0.826,0.026,0.207,60.277,29.0,644.234,645.16,-645.16,6820.16
