contract_type,symbol,description,strike,expiration_date,mark,bid,bid_size,ask,ask_size,last,last_size,open_interest,total_volume,delta,gamma,theta,vega,rho,volatility,theoretical_volatility,theoretical_option_value,intrinsic_value,extrinsic_value,underlying_price
CALL,SPXW  260414C02600000,SPXW 04/14/2026 2600.00 C,2600.0,2026-04-14,4219.6,4210.8,2,4228.4,1,4212.55,1,1,0,1.0,0.0,1.002,0.001,0.088,446.593,29.0,4220.752,4221.87,-9.32,6821.87
CALL,SPXW  260414C02800000,SPXW 04/14/2026 2800.00 C,2800.0,2026-04-14,4019.6,4009.9,2,4029.3,1,0.0,0,0,0,1.0,0.0,1.001,0.001,0.094,413.599,29.0,4020.753,4021.87,-4021.87,6821.87
CALL,SPXW  260414C03000000,SPXW 04/14/2026 3000.00 C,3000.0,2026-04-14,3820.5,3809.8,3,3831.2,2,0.0,0,0,0,1.0,0.0,1.001,0.001,0.101,382.504,29.0,3820.753,3821.87,-3821.87,6821.87
CALL,SPXW  260414C03200000,SPXW 04/14/2026 3200.00 C,3200.0,2026-04-14,3619.55,3610.9,2,3628.2,1,0.0,0,0,0,1.0,0.0,1.001,0.001,0.108,353.385,29.0,3620.753,3621.87,-3621.87,6821.87
CALL,SPXW  260414C03400000,SPXW 04/14/2026 3400.00 C,3400.0,2026-04-14,3421.3,3411.4,2,3431.2,2,0.0,0,0,0,1.0,0.0,1.001,0.001,0.114,325.983,29.0,3420.753,3421.87,-3421.87,6821.87
CALL,SPXW  260414C03600000,SPXW 04/14/2026 3600.00 C,3600.0,2026-04-14,3219.7,3210.2,2,3229.2,1,0.0,0,0,0,1.0,0.0,1.0,0.001,0.121,300.574,29.0,3220.754,3221.87,-3221.87,6821.87
CALL,SPXW  260414C03800000,SPXW 04/14/2026 3800.00 C,3800.0,2026-04-14,3019.5,3009.8,2,3029.2,1,0.0,0,0,0,1.0,0.0,1.001,0.001,0.128,275.866,29.0,3020.754,3021.87,-3021.87,6821.87
CALL,SPXW  260414C04000000,SPXW 04/14/2026 4000.00 C,4000.0,2026-04-14,2819.75,2810.0,2,2829.5,1,0.0,0,0,0,1.0,0.0,1.0,0.002,0.135,252.907,29.0,2820.754,2821.87,-2821.87,6821.87
CALL,SPXW  260414C04200000,SPXW 04/14/2026 4200.00 C,4200.0,2026-04-14,2620.25,2611.0,2,2629.5,1,0.0,0,0,0,1.0,0.0,1.0,0.002,0.141,230.702,29.0,2620.754,2621.87,-2621.87,6821.87
CALL,SPXW  260414C04400000,SPXW 04/14/2026 4400.00 C,4400.0,2026-04-14,2420.7,2411.5,1,2429.9,1,0.0,0,0,0,1.0,0.0,1.0,0.002,0.148,209.522,29.0,2420.754,2421.87,-2421.87,6821.87
CALL,SPXW  260414C04600000,SPXW 04/14/2026 4600.00 C,4600.0,2026-04-14,2220.3,2211.0,2,2229.6,1,0.0,0,0,0,1.0,0.0,1.0,0.002,0.155,189.26,29.0,2220.755,2221.87,-2221.87,6821.87
CALL,SPXW  260414C04800000,SPXW 04/14/2026 4800.00 C,4800.0,2026-04-14,2020.5,2010.3,2,2030.7,2,0.0,0,0,0,1.0,0.0,0.999,0.002,0.162,169.9,29.0,2020.755,2021.87,-2021.87,6821.87
CALL,SPXW  260414C05000000,SPXW 04/14/2026 5000.00 C,5000.0,2026-04-14,1819.8,1810.0,2,1829.6,1,0.0,0,0,0,1.0,0.0,0.999,0.003,0.168,151.175,29.0,1820.755,1821.87,-1821.87,6821.87
CALL,SPXW  260414C05100000,SPXW 04/14/2026 5100.00 C,5100.0,2026-04-14,1720.9,1711.5,2,1730.3,2,0.0,0,0,0,1.0,0.0,0.999,0.003,0.172,142.007,29.0,1720.755,1721.87,-1721.87,6821.87
